"Filename","New_Process_Name"
"dism.exe","c:\windows\system32\dism.exe"
"dispdiag.exe","c:\windows\system32\dispdiag.exe"
"displayswitch.exe","c:\windows\system32\displayswitch.exe"
"djoin.exe","c:\windows\system32\djoin.exe"
"dllhost.exe","c:\windows\system32\dllhost.exe"
"dllhst3g.exe","c:\windows\system32\dllhst3g.exe"
"dns.exe","c:\windows\system32\dns.exe"
"dnscacheugc.exe","c:\windows\system32\dnscacheugc.exe"
"dnscmd.exe","c:\windows\system32\dnscmd.exe"
"doskey.exe","c:\windows\system32\doskey.exe"
"dpapimig.exe","c:\windows\system32\dpapimig.exe"
"dpiscaling.exe","c:\windows\system32\dpiscaling.exe"
"dpnsvr.exe","c:\windows\system32\dpnsvr.exe"
"driverquery.exe","c:\windows\system32\driverquery.exe"
"drvcfg.exe","c:\windows\system32\drvcfg.exe"
"drvinst.exe","c:\windows\system32\drvinst.exe"
"dsac.exe","c:\windows\system32\dsac.exe"
"dsacls.exe","c:\windows\system32\dsacls.exe"
"dsadd.exe","c:\windows\system32\dsadd.exe"
"dsamain.exe","c:\windows\system32\dsamain.exe"
"dsdbutil.exe","c:\windows\system32\dsdbutil.exe"
"dsget.exe","c:\windows\system32\dsget.exe"
"dsmgmt.exe","c:\windows\system32\dsmgmt.exe"
"dsmod.exe","c:\windows\system32\dsmod.exe"
"dsmove.exe","c:\windows\system32\dsmove.exe"
"dsmusertask.exe","c:\windows\system32\dsmusertask.exe"
"dsquery.exe","c:\windows\system32\dsquery.exe"
"dsrm.exe","c:\windows\system32\dsrm.exe"
"dvdplay.exe","c:\windows\system32\dvdplay.exe"
"dvdupgrd.exe","c:\windows\system32\dvdupgrd.exe"
"dwm.exe","c:\windows\system32\dwm.exe"
"dwwin.exe","c:\windows\system32\dwwin.exe"
"dxdiag.exe","c:\windows\system32\dxdiag.exe"
"dxpserver.exe","c:\windows\system32\dxpserver.exe"
"eap3host.exe","c:\windows\system32\eap3host.exe"
"easeofaccessdialog.exe","c:\windows\system32\easeofaccessdialog.exe"
"easinvoker.exe","c:\windows\system32\easinvoker.exe"
"efsui.exe","c:\windows\system32\efsui.exe"
"escunattend.exe","c:\windows\system32\escunattend.exe"
"esentutl.exe","c:\windows\system32\esentutl.exe"
"eventcreate.exe","c:\windows\system32\eventcreate.exe"
"eventvwr.exe","c:\windows\system32\eventvwr.exe"
"expand.exe","c:\windows\system32\expand.exe"
"extrac32.exe","c:\windows\system32\extrac32.exe"
"fc.exe","c:\windows\system32\fc.exe"
"find.exe","c:\windows\system32\find.exe"
"findstr.exe","c:\windows\system32\findstr.exe"
"finger.exe","c:\windows\system32\finger.exe"
"fixmapi.exe","c:\windows\system32\fixmapi.exe"
"fltmc.exe","c:\windows\system32\fltmc.exe"
"fondue.exe","c:\windows\system32\fondue.exe"
"fontview.exe","c:\windows\system32\fontview.exe"
"forfiles.exe","c:\windows\system32\forfiles.exe"
"fsavailux.exe","c:\windows\system32\fsavailux.exe"
"fsutil.exe","c:\windows\system32\fsutil.exe"
"ftp.exe","c:\windows\system32\ftp.exe"
"genvalobj.exe","c:\windows\system32\genvalobj.exe"
"getmac.exe","c:\windows\system32\getmac.exe"
"gpfixup.exe","c:\windows\system32\gpfixup.exe"
"gpresult.exe","c:\windows\system32\gpresult.exe"
"gpscript.exe","c:\windows\system32\gpscript.exe"
"gpupdate.exe","c:\windows\system32\gpupdate.exe"
"grpconv.exe","c:\windows\system32\grpconv.exe"
"hdwwiz.exe","c:\windows\system32\hdwwiz.exe"
"help.exe","c:\windows\system32\help.exe"
"hostname.exe","c:\windows\system32\hostname.exe"
"iashost.exe","c:\windows\system32\iashost.exe"
"icacls.exe","c:\windows\system32\icacls.exe"
"icsunattend.exe","c:\windows\system32\icsunattend.exe"
"ie4uinit.exe","c:\windows\system32\ie4uinit.exe"
"ieetwcollector.exe","c:\windows\system32\ieetwcollector.exe"
"ieunatt.exe","c:\windows\system32\ieunatt.exe"
